source,domain
"Progressive, The",progressive.org
Reuters,graphics.reuters.com
Wonkette,www.wonkette.com
Vanity Fair,www.vanityfair.com
Marketwatch,www.marketwatch.com
Time,time.com
Wall Street Journal,www.wsj.com
NewsPunch,newspunch.com
Fox News,
New York Times,www.nytimes.com
One America News Network,www.oann.com
Twitchy,twitchy.com
The Blaze,www.theblaze.com
RedState,www.redstate.com
The Atlantic,www.theatlantic.com
Daily Signal,www.dailysignal.com
Daily Kos,www.dailykos.com
Al Jazeera,www.aljazeera.com
The New Yorker,www.newyorker.com
Vice,news.vice.com
The Guardian,www.theguardian.com
EPI,www.epi.org
LA Times,www.latimes.com
Palmer Report,www.palmerreport.com
The Skimm,www.theskimm.com
Intercept,theintercept.com
Conservative Tribune,www.westernjournal.com
National Public Radio,www.npr.org
Breitbart,www.breitbart.com
National Review,www.nationalreview.com
Mother Jones,www.motherjones.com
Foreign Policy,foreignpolicy.com
Conservative Review,www.conservativereview.com
Forbes,www.forbes.com
ShareBlue,shareblue.com
USA Today,eu.usatoday.com
IJR,ijr.com
Newsy,www.newsy.com
Fiscal Times,www.thefiscaltimes.com
CNN,
New Republic,newrepublic.com
MSNBC,www.msnbc.com
Business Insider,www.businessinsider.com
The Skimm,theskimm.com
News and Guts,www.newsandguts.com
CNN,www.cnn.com
CNN,edition.cnn.com
Financial Times,www.ft.com
The Economist,www.economist.com
Daily Beast,www.thedailybeast.com
The Hill,thehill.com
The Week,www.theweek.com
Daily Caller,dailycaller.com
"American Spectator, The",spectator.org
BuzzFeed,www.buzzfeednews.com
Talking Points Memo,talkingpointsmemo.com
Reuters,www.reuters.com
Democracy Now,www.democracynow.org
World Truth TV,worldtruth.tv
Reason,reason.com
Washington Free Beacon,freebeacon.com
CBS,www.cbsnews.com
Vox,www.vox.com
InfoWars,www.infowars.com
Fortune,fortune.com
Truthout,truthout.org
Weather.com,weather.com
The Gateway Pundit,www.thegatewaypundit.com
Crooks and Liars,crooksandliars.com
Second Nexus,secondnexus.com
Bipartisan Report,bipartisanreport.com
Jacobin,www.jacobinmag.com
CNSNews,www.cnsnews.com
Spoutable,s.spoutable.com
MSNBC,
PJ Media,pjmedia.com
National Enquirer,www.nationalenquirer.com
Counterpunch,www.counterpunch.org
The Advocate,www.advocate.com
The Federalist,thefederalist.com
Quartz,qz.com
Daily Wire,www.dailywire.com
Jacobin,jacobinmag.com
Washington Times,www.washingtontimes.com
Slate,slate.com
Washington Monthly,washingtonmonthly.com
PBS,www.pbs.org
Forward,forward.com
NewsMax,www.newsmax.com
New York Post,nypost.com
Fox News,www.foxnews.com
FreeSpeech TV,freespeech.org
Patribotics,patribotics.blog
Alternet,www.alternet.org
CNN,us.cnn.com
UrNews24,www.urnews24.com
Daily Mail,www.dailymail.co.uk
Occupy Democrats,occupydemocrats.com
WorldNetDaily,www.wnd.com
The Nation,www.thenation.com
Life News,www.lifenews.com
OZY,www.ozy.com
The Week,theweek.com
The American Conservative,www.theamericanconservative.com
Washington Post,www.washingtonpost.com
Think Progress,thinkprogress.org
ABC,abcnews.go.com
USA Today,www.usatoday.com
Axios,www.axios.com
AP,apnews.com
Washington Examiner,www.washingtonexaminer.com
Bloomberg,www.bloomberg.com
Politico,www.politico.com
Guacamoley,guacamoley.com
BBC,www.bbc.com
MSNBC,www.nbcnews.com
ProPublica,www.propublica.org
Huffington Post,www.huffpost.com
Christian Science Monitor,www.csmonitor.com
